Date,Open,High,Low,Close,Volume,Project Name,Credits Issued
2020-11-13,20.8700008392334,20.8799991607666,20.600000381469727,15.669601440429688,2400,Stotz Southern Generation,21461.0
2020-11-13,20.8700008392334,20.8799991607666,20.600000381469727,15.669601440429688,2400,Chaput Family Farms,6285.0
2020-11-13,20.8700008392334,20.8799991607666,20.600000381469727,15.669601440429688,2400,UK CowCredit project: A UK dairy initiative to reduce methane from enteric fermentation,247.0
2020-11-13,20.8700008392334,20.8799991607666,20.600000381469727,15.669601440429688,2400,UK CowCredit project: A UK dairy initiative to reduce methane from enteric fermentation,62.0
2020-11-19,20.82999992370605,20.90999984741211,20.709999084472656,15.677167892456056,3100,Anson County Landfill,34980.0
2020-11-20,20.905000686645508,21.100000381469727,20.854999542236328,15.786931037902832,400,"Terra Yazoo City  # 9, Nitrous Oxide Abatement Project",78946.0
2020-11-20,20.905000686645508,21.100000381469727,20.854999542236328,15.786931037902832,400,"Terra Yazoo City  # 9, Nitrous Oxide Abatement Project",64845.0
2020-11-23,21.020000457763672,21.479999542236328,20.84000015258789,16.169208526611328,10200,Grouped OFF-GRID Renewable Energy Project in India,879.0
2020-11-24,21.5,21.690000534057617,21.399999618530277,16.412202835083008,11400,Aurora Ridge Dairy,11975.0
2020-11-24,21.5,21.690000534057617,21.399999618530277,16.412202835083008,11400,EcoMakala Virunga Reforestation project ,104.0
2020-12-01,22.520000457763672,22.63999938964844,22.19499969482422,17.073808670043945,2300,"Rainier Biogas, LLC",1409.0
2020-12-01,22.520000457763672,22.63999938964844,22.19499969482422,17.073808670043945,2300,"Rainier Biogas, LLC",6544.0
2020-12-01,22.520000457763672,22.63999938964844,22.19499969482422,17.073808670043945,2300,"Rainier Biogas, LLC",3869.0
2020-12-02,22.84000015258789,22.85400009155273,22.76000022888184,17.300146102905273,500,Raven's Nest Nature Preserve,944.0
2020-12-02,22.84000015258789,22.85400009155273,22.76000022888184,17.300146102905273,500,Raven's Nest Nature Preserve,965.0
2020-12-02,22.84000015258789,22.85400009155273,22.76000022888184,17.300146102905273,500,Heartland Ranch Phase 1,3156.0
2020-12-02,22.84000015258789,22.85400009155273,22.76000022888184,17.300146102905273,500,Heartland Ranch Phase 1,3224.0
2020-12-02,22.84000015258789,22.85400009155273,22.76000022888184,17.300146102905273,500,Heartland Ranch Phase 2,1223.0
2020-12-02,22.84000015258789,22.85400009155273,22.76000022888184,17.300146102905273,500,Heartland Ranch Phase 2,1249.0
2020-12-02,22.84000015258789,22.85400009155273,22.76000022888184,17.300146102905273,500,Heartland Ranch Phase 3,287.0
2020-12-02,22.84000015258789,22.85400009155273,22.76000022888184,17.300146102905273,500,Heartland Ranch Phase 3,124.0
2020-12-02,22.84000015258789,22.85400009155273,22.76000022888184,17.300146102905273,500,Medford Spring Grassland Conservation,1452.0
2020-12-03,22.8799991607666,22.947999954223636,22.63999938964844,17.213850021362305,2600,Wind Power Project at Theni by Powerica Limited,752.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 86 Southern Ethiopia Community Boreholes,410.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 87 Southern Ethiopia Community Boreholes,406.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 88 Southern Ethiopia Community Boreholes,410.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 127 Southern Ethiopia Community Boreholes,410.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 128 Southern Ethiopia Community Boreholes,410.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 165 Southern Ethiopia Community Safe Water,937.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 165 Southern Ethiopia Community Safe Water,410.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 166 Southern Ethiopia Community Safe Water ,410.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 168 Southern Ethiopia Community Safe Water,410.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 169 Southern Ethiopia Community Safe Water ,410.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 170 Southern Ethiopia Community Safe Water ,410.0
2020-12-04,22.799999237060547,23.36000061035156,22.799999237060547,17.63776206970215,3200,GS1247 VPA 171 Southern Ethiopia Community Safe Water,410.0
2020-12-09,23.190000534057617,23.209999084472656,22.850000381469727,17.297119140625,5100,Hancock County Landfill Gas Collection Project,55944.0
2020-12-09,23.190000534057617,23.209999084472656,22.850000381469727,17.297119140625,5100,Hancock County Landfill Gas Collection Project,53908.0
2020-12-11,23.739999771118164,23.76000022888184,23.552000045776367,17.828521728515625,10300,Four Hills Farm,17767.0
2020-12-14,24.01000022888184,24.13999938964844,23.780000686645508,18.016254425048828,19100,Green Valley Dairy Methane Reduction Project,22562.0
2020-12-14,24.01000022888184,24.13999938964844,23.780000686645508,18.016254425048828,19100,Surry County Landfill,27558.0
2020-12-14,24.01000022888184,24.13999938964844,23.780000686645508,18.016254425048828,19100,Surry County Landfill,292.0
2020-12-14,24.01000022888184,24.13999938964844,23.780000686645508,18.016254425048828,19100,2.5 MW WINDPOWERGENERATION PROJECT OF C.J.SHAH & CO,321.0
2020-12-15,24.32999992370605,24.540000915527344,24.290000915527344,18.541601181030277,55700,Forest Carbon Partners -- Eddie Ranch Improved Forest Management Project,5919.0
2020-12-15,24.32999992370605,24.540000915527344,24.290000915527344,18.541601181030277,55700,Wind Power Project at Bhachau by Powerica Limited,962.0
2020-12-15,24.32999992370605,24.540000915527344,24.290000915527344,18.541601181030277,55700,Wind Power Project at Bhachau by Powerica Limited,683.0
2020-12-16,24.36000061035156,24.3700008392334,24.1200008392334,18.419727325439453,15600,25.5 MW Wind Energy Farm at Nandurbar Maharashtra by HZL,626.0
2020-12-17,24.450000762939453,24.56999969482422,24.38800048828125,18.498455047607425,7000,Forest Carbon Partners -- Glass Ranch Improved Forest Management Project,18627.0
2020-12-17,24.450000762939453,24.56999969482422,24.38800048828125,18.498455047607425,7000,Forest Carbon Partners -- Glass Ranch Improved Forest Management Project,697.0
2020-12-17,24.450000762939453,24.56999969482422,24.38800048828125,18.498455047607425,7000,Forest Carbon Partners -- Glass Ranch Improved Forest Management Project,697.0
2020-12-18,23.93000030517578,24.04800033569336,23.76000022888184,18.20171546936035,9600,Brushy Mountain,94923.0
2020-12-18,23.93000030517578,24.04800033569336,23.76000022888184,18.20171546936035,9600,TRR Landfill,23710.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,ClimeCo ODS Destruction 34,127338.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 71 Lango Safe Water Project,866.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 72 Lango Safe Water Project,798.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 73 Lango Safe Water Project,768.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 74 Lango Safe Water Project,768.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 75 Lango Safe Water Project,572.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 76 Lango Safe Water Project,417.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 77 Lango Safe Water Project,763.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 79 Lango Safe Water Project,798.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 80 Lango Safe Water Project,678.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 81 Lango Safe Water Project,381.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 82 Lango Safe Water Project,678.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 83 Lango Safe Water Project,773.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 139 Lango Safe Water Project,762.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 140 Lango Safe Water Project,778.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 141 Lango Safe Water Project,684.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 183 Lango Safe Water Project,803.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 184 Lango Safe Water Project,803.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 186 Lango Safe Water Project,964.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 186 Lango Safe Water Project,803.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS1247 VPA 187 Lango Safe Water Project,877.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS5047 VPA34 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project II,827.0
2020-12-22,23.84000015258789,24.030000686645508,23.700000762939453,17.940555572509766,4200,GS5047 VPA36 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project IV,377.0
